"vaccine","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","population_sample_size"
"Seasonal Influenza","States","South Carolina","2006-07","Marital Status","Never Married","81.9","2119"
"Seasonal Influenza","States","South Carolina","2009-10","Education","Advanced Degree","85.4","561"
"Seasonal Influenza","States","South Carolina","2006-07","Education","Technical or Trade School","82.3","565"
"Seasonal Influenza","States","South Carolina","2005-06","Education","Technical or Trade School","68.7","463"
"Seasonal Influenza","States","South Carolina","2009-10","Education","High School","81.8","5492"
"Seasonal Influenza","States","South Carolina","2019-20","Age",">=85 Years","77.3","10452"
"Seasonal Influenza","States","South Carolina","2018-19","Age",">=85 Years","78.2","10724"
"Seasonal Influenza","States","South Carolina","2020-21","Age",">=85 Years","77.5","8372"
"Seasonal Influenza","States","South Carolina","2009-10","Race and Ethnicity","Hispanic","67.9","78"
"Seasonal Influenza","States","South Carolina","2014-15","Race and Ethnicity","Hispanic","73.3","120"
"Seasonal Influenza","States","South Carolina","2013-14","Race and Ethnicity","Hispanic","78.0","100"
"Seasonal Influenza","States","South Carolina","2012-13","Race and Ethnicity","Hispanic","76.4","89"
"Seasonal Influenza","States","South Carolina","2011-12","Race and Ethnicity","Hispanic","74.7","87"
"Seasonal Influenza","States","South Carolina","2010-11","Race and Ethnicity","Hispanic","77.5","80"
"Pneumococcal","States","South Carolina","2009","Age","25-44 Years","73.9","295"
"Pneumococcal","States","South Carolina","2008","Age","25-44 Years","76.7","301"
"Pneumococcal","States","South Carolina","2013","Race and Ethnicity","White, Non-Hispanic","84.1","35137"
"Pneumococcal","States","South Carolina","2019","Race and Ethnicity","White, Non-Hispanic","68.2","35093"
"Pneumococcal","States","South Carolina","2018","Race and Ethnicity","White, Non-Hispanic","68.3","35373"
"Pneumococcal","States","South Carolina","2017","Race and Ethnicity","White, Non-Hispanic","72.2","35822"
"Pneumococcal","States","South Carolina","2016","Race and Ethnicity","White, Non-Hispanic","75.4","35918"
"Pneumococcal","States","South Carolina","2015","Race and Ethnicity","White, Non-Hispanic","77.8","36142"
"Pneumococcal","States","South Carolina","2014","Race and Ethnicity","White, Non-Hispanic","82.8","35444"
"Seasonal Influenza","States","South Carolina","2016-17","Race and Ethnicity","Hispanic","72.0","125"
"Seasonal Influenza","States","South Carolina","2015-16","Race and Ethnicity","Hispanic","65.8","117"
"Seasonal Influenza","States","South Carolina","2020-21","Race and Ethnicity","Hispanic","67.7","130"
"Seasonal Influenza","States","South Carolina","2019-20","Race and Ethnicity","Hispanic","69.3","137"
"Seasonal Influenza","States","South Carolina","2018-19","Race and Ethnicity","Hispanic","71.6","141"
"Seasonal Influenza","States","South Carolina","2017-18","Race and Ethnicity","Hispanic","66.9","121"
"Pneumococcal","States","South Carolina","2010","Age","25-44 Years","75.5","327"
"Pneumococcal","States","South Carolina","2016","Age","25-44 Years","51.0","463"
"Pneumococcal","States","South Carolina","2015","Age","25-44 Years","61.1","416"
"Pneumococcal","States","South Carolina","2014","Age","25-44 Years","69.1","385"
"Pneumococcal","States","South Carolina","2013","Age","25-44 Years","68.0","384"
"Pneumococcal","States","South Carolina","2012","Age","25-44 Years","69.5","341"
"Pneumococcal","States","South Carolina","2011","Age","25-44 Years","70.5","332"
"Pneumococcal","States","South Carolina","2006","Race and Ethnicity","White, Non-Hispanic","76.8","26885"
"Seasonal Influenza","States","South Carolina","2007-08","Race and Ethnicity","Hispanic","77.8","54"
"Seasonal Influenza","States","South Carolina","2006-07","Race and Ethnicity","Hispanic","72.2","54"
"Seasonal Influenza","States","South Carolina","2020-21","Race and Ethnicity","Black, Non-Hispanic","67.6","8565"
"Seasonal Influenza","States","South Carolina","2005-06","Race and Ethnicity","Hispanic","67.3","52"
"Seasonal Influenza","States","South Carolina","2019-20","Race and Ethnicity","Black, Non-Hispanic","70.2","9643"
"Pneumococcal","States","South Carolina","2017","Age","18-24 Years","45.5","22"
"Pneumococcal","States","South Carolina","2016","Age","18-24 Years","23.8","21"
"Pneumococcal","States","South Carolina","2015","Age","18-24 Years","33.3","18"
"Pneumococcal","States","South Carolina","2012","Race and Ethnicity","White, Non-Hispanic","85.4","33969"
"Pneumococcal","States","South Carolina","2011","Race and Ethnicity","White, Non-Hispanic","86.4","32810"
"Pneumococcal","States","South Carolina","2010","Race and Ethnicity","White, Non-Hispanic","87.4","31478"
"Pneumococcal","States","South Carolina","2009","Race and Ethnicity","White, Non-Hispanic","88.9","30154"
"Pneumococcal","States","South Carolina","2008","Race and Ethnicity","White, Non-Hispanic","88.9","29338"
"Pneumococcal","States","South Carolina","2007","Race and Ethnicity","White, Non-Hispanic","84.8","28152"
"Seasonal Influenza","States","South Carolina","2008-09","Race and Ethnicity","Hispanic","79.7","64"
"Seasonal Influenza","States","South Carolina","2013-14","Marital Status","Never Married","80.2","3323"
"Seasonal Influenza","States","South Carolina","2012-13","Marital Status","Never Married","80.0","3257"
"Seasonal Influenza","States","South Carolina","2011-12","Marital Status","Never Married","81.5","2991"
"Seasonal Influenza","States","South Carolina","2005-06","Marital Status","Never Married","78.0","2131"
"Seasonal Influenza","States","South Carolina","2013-14","Age",">=85 Years","83.2","10876"
"Seasonal Influenza","States","South Carolina","2012-13","Age",">=85 Years","84.1","11194"
"Seasonal Influenza","States","South Carolina","2011-12","Age",">=85 Years","84.4","11100"
"Seasonal Influenza","States","South Carolina","2010-11","Age",">=85 Years","83.6","11401"
"Seasonal Influenza","States","South Carolina","2009-10","Age",">=85 Years","87.1","11132"
"Seasonal Influenza","States","South Carolina","2008-09","Age",">=85 Years","86.4","10904"
"Seasonal Influenza","States","South Carolina","2007-08","Age",">=85 Years","86.4","10784"
"Seasonal Influenza","States","South Carolina","2008-09","Education","Advanced Degree","82.4","518"
"Seasonal Influenza","States","South Carolina","2007-08","Education","Advanced Degree","83.1","462"
"Seasonal Influenza","States","South Carolina","2006-07","Education","Advanced Degree","77.0","413"
"Seasonal Influenza","States","South Carolina","2005-06","Education","Advanced Degree","73.4","410"
"Seasonal Influenza","States","South Carolina","2009-10","Education","4-Year College","83.0","1218"
"Seasonal Influenza","States","South Carolina","2008-09","Education","4-Year College","84.0","1217"
"Seasonal Influenza","States","South Carolina","2007-08","Education","4-Year College","86.4","1237"
"Seasonal Influenza","States","South Carolina","2006-07","Education","4-Year College","80.7","1092"
"Seasonal Influenza","States","South Carolina","2005-06","Education","4-Year College","74.9","1075"
"Seasonal Influenza","States","South Carolina","2008-09","Education","Some College","81.6","1606"
"Seasonal Influenza","States","South Carolina","2009-10","Education","Some College","82.3","1652"
"Seasonal Influenza","States","South Carolina","2005-06","Education","Some College","70.8","1317"
"Seasonal Influenza","States","South Carolina","2009-10","Education","Technical or Trade School","81.7","619"
"Seasonal Influenza","States","South Carolina","2007-08","Education","Technical or Trade School","82.6","557"
"Seasonal Influenza","States","South Carolina","2008-09","Education","Technical or Trade School","84.2","570"
"Seasonal Influenza","States","South Carolina","2007-08","Education","Some College","83.0","1432"
"Seasonal Influenza","States","South Carolina","2006-07","Education","Some College","78.4","1414"
"Seasonal Influenza","States","South Carolina","2006-07","Education","High School","80.0","4974"
"Seasonal Influenza","States","South Carolina","2008-09","Education","High School","82.1","5385"
"Seasonal Influenza","States","South Carolina","2007-08","Education","High School","82.8","4854"
"Seasonal Influenza","States","South Carolina","2005-06","Education","High School","72.2","4576"
"Seasonal Influenza","States","South Carolina","2009-10","Education","< High School","84.0","5308"
"Seasonal Influenza","States","South Carolina","2008-09","Education","< High School","84.3","5482"
"Seasonal Influenza","States","South Carolina","2007-08","Education","< High School","83.1","5647"
"Seasonal Influenza","States","South Carolina","2006-07","Education","< High School","80.7","5479"
"Seasonal Influenza","States","South Carolina","2005-06","Education","< High School","73.7","5546"
"Seasonal Influenza","States","South Carolina","2017-18","Age",">=85 Years","78.1","10939"
"Seasonal Influenza","States","South Carolina","2016-17","Age",">=85 Years","79.8","10757"
"Seasonal Influenza","States","South Carolina","2015-16","Age",">=85 Years","81.3","10983"
"Seasonal Influenza","States","South Carolina","2014-15","Age",">=85 Years","82.6","11191"
"Seasonal Influenza","States","South Carolina","2018-19","Age","75-84 Years","73.3","10972"
"Seasonal Influenza","States","South Carolina","2017-18","Age","75-84 Years","73.0","10820"
"Seasonal Influenza","States","South Carolina","2010-11","Age","65-74 Years","78.7","5957"
"Seasonal Influenza","States","South Carolina","2014-15","Age","75-84 Years","79.2","10663"
"Seasonal Influenza","States","South Carolina","2013-14","Age","75-84 Years","80.0","10178"
"Seasonal Influenza","States","South Carolina","2012-13","Age","75-84 Years","81.2","10337"
"Seasonal Influenza","States","South Carolina","2011-12","Age","75-84 Years","81.9","10197"
"Seasonal Influenza","States","South Carolina","2010-11","Age","75-84 Years","81.5","10168"
"Seasonal Influenza","States","South Carolina","2009-10","Age","75-84 Years","85.2","9992"
"Seasonal Influenza","States","South Carolina","2008-09","Age","75-84 Years","84.2","9991"
"Seasonal Influenza","States","South Carolina","2007-08","Age","75-84 Years","84.3","9916"
"Seasonal Influenza","States","South Carolina","2006-07","Age","75-84 Years","81.4","9953"
"Seasonal Influenza","States","South Carolina","2006-07","Age",">=85 Years","84.8","10416"
"Seasonal Influenza","States","South Carolina","2005-06","Age",">=85 Years","80.4","10131"
"Seasonal Influenza","States","South Carolina","2020-21","Age","75-84 Years","71.8","9237"
"Seasonal Influenza","States","South Carolina","2019-20","Age","75-84 Years","72.7","10794"
"Seasonal Influenza","States","South Carolina","2016-17","Age","75-84 Years","74.3","10626"
"Seasonal Influenza","States","South Carolina","2015-16","Age","75-84 Years","77.1","10704"
"Seasonal Influenza","States","South Carolina","2020-21","Age","65-74 Years","67.1","7372"
"Seasonal Influenza","States","South Carolina","2005-06","Age","75-84 Years","76.3","10074"
"Seasonal Influenza","States","South Carolina","2019-20","Age","65-74 Years","67.8","8042"
"Seasonal Influenza","States","South Carolina","2018-19","Age","65-74 Years","69.2","8035"
"Seasonal Influenza","States","South Carolina","2017-18","Age","65-74 Years","68.7","7896"
"Seasonal Influenza","States","South Carolina","2016-17","Age","65-74 Years","69.9","7960"
"Seasonal Influenza","States","South Carolina","2015-16","Age","65-74 Years","74.2","7868"
"Seasonal Influenza","States","South Carolina","2014-15","Age","65-74 Years","74.6","7581"
"Seasonal Influenza","States","South Carolina","2013-14","Age","65-74 Years","75.1","7161"
"Seasonal Influenza","States","South Carolina","2012-13","Age","65-74 Years","77.0","6732"
"Seasonal Influenza","States","South Carolina","2011-12","Age","65-74 Years","77.9","6206"
"Seasonal Influenza","States","South Carolina","2009-10","Age","65-74 Years","82.5","5535"
"Seasonal Influenza","States","South Carolina","2008-09","Age","65-74 Years","80.5","5239"
"Seasonal Influenza","States","South Carolina","2007-08","Age","65-74 Years","79.9","4902"
"Seasonal Influenza","States","South Carolina","2006-07","Age","65-74 Years","76.7","4692"
"Seasonal Influenza","States","South Carolina","2020-21","Age","55-64 Years","65.7","3298"
"Seasonal Influenza","States","South Carolina","2005-06","Age","65-74 Years","70.8","4554"
"Seasonal Influenza","States","South Carolina","2018-19","Age","55-64 Years","67.5","3370"
"Seasonal Influenza","States","South Carolina","2017-18","Age","55-64 Years","67.5","3446"
"Seasonal Influenza","States","South Carolina","2016-17","Age","55-64 Years","70.1","3373"
"Seasonal Influenza","States","South Carolina","2015-16","Age","55-64 Years","70.4","3428"
"Seasonal Influenza","States","South Carolina","2014-15","Age","55-64 Years","73.3","3139"
"Seasonal Influenza","States","South Carolina","2013-14","Age","55-64 Years","73.5","2914"
"Pneumococcal","States","South Carolina","2015","Race and Ethnicity","Black, Non-Hispanic","72.2","12228"
"Pneumococcal","States","South Carolina","2014","Race and Ethnicity","Black, Non-Hispanic","79.9","11771"
"Pneumococcal","States","South Carolina","2013","Race and Ethnicity","Black, Non-Hispanic","81.6","11241"
"Pneumococcal","States","South Carolina","2012","Race and Ethnicity","Black, Non-Hispanic","81.8","10775"
"Seasonal Influenza","States","South Carolina","2012-13","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","45.5","11"
"Seasonal Influenza","States","South Carolina","2011-12","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","82.4","17"
"Seasonal Influenza","States","South Carolina","2010-11","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","81.8","44"
"Seasonal Influenza","States","South Carolina","2009-10","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","100.0","23"
"Seasonal Influenza","States","South Carolina","2012-13","Age","55-64 Years","75.8","2730"
"Seasonal Influenza","States","South Carolina","2015-16","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","76.2","21"
"Seasonal Influenza","States","South Carolina","2014-15","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","91.3","23"
"Seasonal Influenza","States","South Carolina","2013-14","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","68.4","19"
"Seasonal Influenza","States","South Carolina","2016-17","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","63.2","19"
"Pneumococcal","States","South Carolina","2019","Race and Ethnicity","Black, Non-Hispanic","61.6","12862"
"Pneumococcal","States","South Carolina","2018","Race and Ethnicity","Black, Non-Hispanic","62.9","12642"
"Pneumococcal","States","South Carolina","2016","Race and Ethnicity","Black, Non-Hispanic","69.2","12315"
"Pneumococcal","States","South Carolina","2017","Race and Ethnicity","Black, Non-Hispanic","65.9","12573"
"Pneumococcal","States","South Carolina","2008","Race and Ethnicity","Hispanic","84.0","75"
"Seasonal Influenza","States","South Carolina","2011-12","Race and Ethnicity","Asian, Non-Hispanic","78.7","47"
"Seasonal Influenza","States","South Carolina","2010-11","Race and Ethnicity","Asian, Non-Hispanic","83.3","24"
"Seasonal Influenza","States","South Carolina","2020-21","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","57.1","21"
"Seasonal Influenza","States","South Carolina","2019-20","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","60.5","38"
"Seasonal Influenza","States","South Carolina","2018-19","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","67.9","28"
"Seasonal Influenza","States","South Carolina","2017-18","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","69.4","36"
"Pneumococcal","States","South Carolina","2020","Race and Ethnicity","Black, Non-Hispanic","61.0","11946"
"Pneumococcal","States","South Carolina","2006","Race and Ethnicity","Hispanic","59.5","74"
"Pneumococcal","States","South Carolina","2007","Race and Ethnicity","Hispanic","77.6","76"
"Pneumococcal","States","South Carolina","2010","Race and Ethnicity","Hispanic","80.7","119"
"Pneumococcal","States","South Carolina","2009","Race and Ethnicity","Hispanic","81.8","99"
"Seasonal Influenza","States","South Carolina","2009-10","Age","25-44 Years","83.1","219"
"Pneumococcal","States","South Carolina","2008","Race and Ethnicity","Black, Non-Hispanic","84.6","9661"
"Pneumococcal","States","South Carolina","2007","Race and Ethnicity","Black, Non-Hispanic","76.9","9312"
"Pneumococcal","States","South Carolina","2006","Race and Ethnicity","Black, Non-Hispanic","64.5","9287"
"Pneumococcal","States","South Carolina","2010","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","81.1","37"
"Pneumococcal","States","South Carolina","2009","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","71.4","56"
"Pneumococcal","States","South Carolina","2008","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","80.0","60"
"Seasonal Influenza","States","South Carolina","2017-18","Marital Status","Widowed","75.7","14096"
"Seasonal Influenza","States","South Carolina","2016-17","Marital Status","Widowed","77.1","14252"
"Seasonal Influenza","States","South Carolina","2015-16","Marital Status","Widowed","79.1","14712"
"Seasonal Influenza","States","South Carolina","2014-15","Marital Status","Widowed","80.1","14995"
"Pneumococcal","States","South Carolina","2007","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","75.5","53"
"Seasonal Influenza","States","South Carolina","2019-20","Sex","Male","70.5","13181"
"Seasonal Influenza","States","South Carolina","2018-19","Sex","Male","71.6","13035"
"Seasonal Influenza","States","South Carolina","2017-18","Sex","Male","71.1","12909"
"Seasonal Influenza","States","South Carolina","2016-17","Sex","Male","72.4","12616"
"Seasonal Influenza","States","South Carolina","2013-14","Marital Status","Widowed","81.6","14691"
"Seasonal Influenza","States","South Carolina","2012-13","Marital Status","Widowed","82.2","15275"
"Seasonal Influenza","States","South Carolina","2011-12","Marital Status","Widowed","83.1","15284"
"Seasonal Influenza","States","South Carolina","2008-09","Age","25-44 Years","76.8","203"
"Seasonal Influenza","States","South Carolina","2007-08","Age","25-44 Years","73.8","225"
"Seasonal Influenza","States","South Carolina","2006-07","Age","25-44 Years","71.8","248"
"Seasonal Influenza","States","South Carolina","2015-16","Sex","Male","75.2","12359"
"Seasonal Influenza","States","South Carolina","2014-15","Sex","Male","76.4","11872"
"Seasonal Influenza","States","South Carolina","2013-14","Sex","Male","77.4","11238"
"Seasonal Influenza","States","South Carolina","2018-19","Marital Status","Widowed","76.2","13977"
"Seasonal Influenza","States","South Carolina","2019-20","Marital Status","Widowed","74.8","13425"
"Seasonal Influenza","States","South Carolina","2019-20","Race and Ethnicity","Asian, Non-Hispanic","67.5","40"
"Seasonal Influenza","States","South Carolina","2014-15","Race and Ethnicity","Asian, Non-Hispanic","71.4","49"
"Seasonal Influenza","States","South Carolina","2013-14","Race and Ethnicity","Asian, Non-Hispanic","74.5","47"
"Seasonal Influenza","States","South Carolina","2012-13","Race and Ethnicity","Asian, Non-Hispanic","74.5","55"
"Pneumococcal","States","South Carolina","2017","Race and Ethnicity","Hispanic","65.6","186"
"Pneumococcal","States","South Carolina","2016","Race and Ethnicity","Hispanic","63.6","176"
"Pneumococcal","States","South Carolina","2015","Race and Ethnicity","Hispanic","69.2","156"
"Seasonal Influenza","States","South Carolina","2018-19","Race and Ethnicity","Asian, Non-Hispanic","61.4","44"
"Seasonal Influenza","States","South Carolina","2017-18","Race and Ethnicity","Asian, Non-Hispanic","66.7","48"
"Seasonal Influenza","States","South Carolina","2016-17","Race and Ethnicity","Asian, Non-Hispanic","71.7","46"
"Seasonal Influenza","States","South Carolina","2015-16","Race and Ethnicity","Asian, Non-Hispanic","73.5","34"
"Pneumococcal","States","South Carolina","2011","Race and Ethnicity","Black, Non-Hispanic","83.8","10462"
"Pneumococcal","States","South Carolina","2010","Race and Ethnicity","Black, Non-Hispanic","84.9","10109"
"Seasonal Influenza","States","South Carolina","2008-09","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","81.0","21"
"Pneumococcal","States","South Carolina","2009","Race and Ethnicity","Black, Non-Hispanic","86.0","9999"
"Seasonal Influenza","States","South Carolina","2007-08","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","88.5","26"
"Seasonal Influenza","States","South Carolina","2006-07","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","80.0","20"
"Seasonal Influenza","States","South Carolina","2020-21","Marital Status","Widowed","74.6","10943"
"Seasonal Influenza","States","South Carolina","2005-06","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","87.5","16"
"Seasonal Influenza","States","South Carolina","2020-21","Sex","Male","68.5","11867"
"Pneumococcal","States","South Carolina","2014","Race and Ethnicity","Hispanic","71.4","133"
"Pneumococcal","States","South Carolina","2013","Race and Ethnicity","Hispanic","75.7","144"
"Pneumococcal","States","South Carolina","2012","Race and Ethnicity","Hispanic","82.4","136"
"Pneumococcal","States","South Carolina","2011","Race and Ethnicity","Hispanic","84.8","112"
"Seasonal Influenza","States","South Carolina","2007-08","Marital Status","Separated","81.6","555"
"Seasonal Influenza","States","South Carolina","2007-08","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","80.9","47"
"Seasonal Influenza","States","South Carolina","2006-07","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","83.8","37"
"Seasonal Influenza","States","South Carolina","2020-21","Race and Ethnicity","Asian, Non-Hispanic","71.0","31"
"Seasonal Influenza","States","South Carolina","2005-06","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","57.1","35"
"Seasonal Influenza","States","South Carolina","2010-11","All Residents",">=18 Years","81.0","31100"
"Seasonal Influenza","States","South Carolina","2009-10","All Residents",">=18 Years","85.0","29898"
"Seasonal Influenza","States","South Carolina","2008-09","All Residents",">=18 Years","83.8","29107"
"Seasonal Influenza","States","South Carolina","2007-08","All Residents",">=18 Years","83.6","28421"
"Seasonal Influenza","States","South Carolina","2012-13","All Residents",">=18 Years","80.7","32155"
"Seasonal Influenza","States","South Carolina","2011-12","All Residents",">=18 Years","81.3","31083"
"Pneumococcal","States","South Carolina","2016","Race and Ethnicity","Multiple Races, Non-Hispanic","62.9","35"
"Pneumococcal","States","South Carolina","2015","Race and Ethnicity","Multiple Races, Non-Hispanic","66.7","30"
"Pneumococcal","States","South Carolina","2014","Race and Ethnicity","Multiple Races, Non-Hispanic","73.7","19"
"Pneumococcal","States","South Carolina","2013","Race and Ethnicity","Multiple Races, Non-Hispanic","83.3","12"
"Pneumococcal","States","South Carolina","2012","Race and Ethnicity","Multiple Races, Non-Hispanic","92.9","14"
"Pneumococcal","States","South Carolina","2011","Race and Ethnicity","Multiple Races, Non-Hispanic","100.0","9"
"Seasonal Influenza","States","South Carolina","2009-10","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","83.7","43"
"Seasonal Influenza","States","South Carolina","2008-09","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","87.8","41"
"Pneumococcal","States","South Carolina","2011","All Residents",">=18 Years","85.7","44162"
"Pneumococcal","States","South Carolina","2010","All Residents",">=18 Years","86.8","42388"
"Pneumococcal","States","South Carolina","2009","All Residents",">=18 Years","88.1","40683"
"Pneumococcal","States","South Carolina","2020","Race and Ethnicity","Hispanic","53.7","175"
"Pneumococcal","States","South Carolina","2010","Race and Ethnicity","Multiple Races, Non-Hispanic","NR",
"Pneumococcal","States","South Carolina","2019","Race and Ethnicity","Hispanic","58.5","193"
"Pneumococcal","States","South Carolina","2018","Race and Ethnicity","Hispanic","55.7","192"
"Pneumococcal","States","South Carolina","2008","All Residents",">=18 Years","87.8","39449"
"Pneumococcal","States","South Carolina","2007","All Residents",">=18 Years","82.7","37941"
"Pneumococcal","States","South Carolina","2006","All Residents",">=18 Years","73.5","36553"
"Pneumococcal","States","South Carolina","2014","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","63.6","11"
"Pneumococcal","States","South Carolina","2008","Age","18-24 Years","NR",
"Pneumococcal","States","South Carolina","2007","Age","18-24 Years","50.0","8"
"Pneumococcal","States","South Carolina","2006","Age","18-24 Years","62.5","16"
"Pneumococcal","States","South Carolina","2020","All Residents",">=18 Years","65.6","43476"
"Pneumococcal","States","South Carolina","2010","Age","18-24 Years","70.0","10"
"Pneumococcal","States","South Carolina","2009","Age","18-24 Years","85.7","7"
"Seasonal Influenza","States","South Carolina","2012-13","Race and Ethnicity","Black, Non-Hispanic","78.0","8072"
"Pneumococcal","States","South Carolina","2019","All Residents",">=18 Years","66.3","49405"
"Seasonal Influenza","States","South Carolina","2011-12","Race and Ethnicity","Black, Non-Hispanic","78.7","7880"
"Pneumococcal","States","South Carolina","2013","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","83.3","6"
"Pneumococcal","States","South Carolina","2012","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","100.0","8"
"Seasonal Influenza","States","South Carolina","2006-07","Race and Ethnicity","Black, Non-Hispanic","79.5","7239"
"Seasonal Influenza","States","South Carolina","2005-06","Race and Ethnicity","Black, Non-Hispanic","74.4","7389"
"Pneumococcal","States","South Carolina","2018","Race and Ethnicity","Multiple Races, Non-Hispanic","73.0","37"
"Pneumococcal","States","South Carolina","2011","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","87.5","8"
"Pneumococcal","States","South Carolina","2010","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NA",
"Pneumococcal","States","South Carolina","2020","Race and Ethnicity","Multiple Races, Non-Hispanic","59.6","52"
"Pneumococcal","States","South Carolina","2019","Race and Ethnicity","Multiple Races, Non-Hispanic","64.4","59"
"Pneumococcal","States","South Carolina","2016","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","75.0","16"
"Pneumococcal","States","South Carolina","2015","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","83.3","12"
"Seasonal Influenza","States","South Carolina","2017-18","Race and Ethnicity","Black, Non-Hispanic","68.8","9303"
"Seasonal Influenza","States","South Carolina","2016-17","Race and Ethnicity","Black, Non-Hispanic","70.9","9098"
"Seasonal Influenza","States","South Carolina","2015-16","Race and Ethnicity","Black, Non-Hispanic","73.0","9043"
"Seasonal Influenza","States","South Carolina","2014-15","Race and Ethnicity","Black, Non-Hispanic","75.9","8789"
"Seasonal Influenza","States","South Carolina","2013-14","Race and Ethnicity","Black, Non-Hispanic","77.7","8274"
"Pneumococcal","States","South Carolina","2020","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","45.5","11"
"Pneumococcal","States","South Carolina","2019","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","25.0","8"
"Pneumococcal","States","South Carolina","2018","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","60.0","10"
"Pneumococcal","States","South Carolina","2017","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","64.3","14"
"Pneumococcal","States","South Carolina","2019","Marital Status","Widowed","69.9","19426"
"Seasonal Influenza","States","South Carolina","2006-07","All Residents",">=18 Years","81.4","27821"
"Pneumococcal","States","South Carolina","2018","Marital Status","Widowed","70.4","19646"
"Pneumococcal","States","South Carolina","2017","Marital Status","Widowed","73.6","19953"
"Pneumococcal","States","South Carolina","2016","Marital Status","Widowed","76.8","20231"
"Pneumococcal","States","South Carolina","2015","Marital Status","Widowed","78.5","20705"
"Seasonal Influenza","States","South Carolina","2016-17","Marital Status","Married","72.5","9202"
"Seasonal Influenza","States","South Carolina","2005-06","All Residents",">=18 Years","76.3","27475"
"Pneumococcal","States","South Carolina","2018","All Residents",">=18 Years","66.7","49214"
"Pneumococcal","States","South Carolina","2017","All Residents",">=18 Years","70.4","49432"
"Pneumococcal","States","South Carolina","2016","All Residents",">=18 Years","73.8","49224"
"Pneumococcal","States","South Carolina","2015","All Residents",">=18 Years","76.4","49299"
"Pneumococcal","States","South Carolina","2014","All Residents",">=18 Years","82.0","48023"
"Pneumococcal","States","South Carolina","2013","All Residents",">=18 Years","83.3","47228"
"Pneumococcal","States","South Carolina","2017","Race and Ethnicity","Multiple Races, Non-Hispanic","67.7","31"
"Pneumococcal","States","South Carolina","2012","All Residents",">=18 Years","84.5","45568"
"Seasonal Influenza","States","South Carolina","2010-11","Race and Ethnicity","Black, Non-Hispanic","78.5","7738"
"Seasonal Influenza","States","South Carolina","2009-10","Race and Ethnicity","Black, Non-Hispanic","82.8","7717"
"Seasonal Influenza","States","South Carolina","2008-09","Race and Ethnicity","Black, Non-Hispanic","81.6","7563"
"Seasonal Influenza","States","South Carolina","2007-08","Race and Ethnicity","Black, Non-Hispanic","81.1","7336"
"Seasonal Influenza","States","South Carolina","2014-15","Marital Status","Separated","75.8","600"
"Seasonal Influenza","States","South Carolina","2013-14","Marital Status","Separated","78.0","715"
"Seasonal Influenza","States","South Carolina","2012-13","Marital Status","Separated","80.7","664"
"Seasonal Influenza","States","South Carolina","2011-12","Marital Status","Separated","80.4","684"
"Seasonal Influenza","States","South Carolina","2010-11","Marital Status","Separated","76.3","654"
"Seasonal Influenza","States","South Carolina","2009-10","Marital Status","Separated","86.6","596"
"Seasonal Influenza","States","South Carolina","2008-09","Marital Status","Separated","82.4","569"
"Seasonal Influenza","States","South Carolina","2006-07","Marital Status","Separated","80.3","528"
