"reporting_area","mmwr_year","mmwr_week","gonorrhea_current_week","gonorrhea_current_week_flag","gonorrhea_previous_52_weeks_max","gonorrhea_previous_52_weeks_max_flag","gonorrhea_cum_2019","gonorrhea_cum_2019_flag","gonorrhea_cum_2018","gonorrhea_cum_2018_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018_flag","location_1","location_2"
"NEVADA","2019","11",,"-","157",,"32",,"1207",,,"-","5",,"12",,"7",,,"-","0",,,"-",,"-","
, NEVADA 
(39.491833, -117.070159)",
"NEBRASKA","2019","11","10",,"106",,"402",,"574",,,"-","3",,"7",,"4",,,"-","1",,,"-",,"-","
, NEBRASKA 
(41.640503, -99.367122)",
"PENNSYLVANIA","2019","11",,"-","361",,"2688",,"3039",,,"-","12",,"56",,"66",,,"-","0",,,"-",,"-","
, PENNSYLVANIA 
(40.789676, -77.858055)",
"PUERTO RICO","2019","11",,"-","19",,"52",,"111",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, PUERTO RICO 
(18.215692, -66.414655)",
"VIRGINIA","2019","11","248",,"356",,"2718",,"2457",,,"-","11",,"39",,"26",,,"-","0",,,"-",,"-","
, VIRGINIA 
(37.542699, -78.45822)",
"MISSOURI","2019","11","238",,"389",,"3167",,"3030",,"1",,"8",,"35",,"45",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.636168, -92.566292)",
"DELAWARE","2019","11",,"-","79",,"374",,"318",,,"-","3",,"4",,"6",,,"-","0",,,"-",,"-","
, DELAWARE 
(39.008676, -75.574561)",
"MONTANA","2019","11","20",,"36",,"265",,"219",,,"-","2",,"6",,"7",,,"-","1",,,"-",,"-","
, MONTANA 
(47.062617, -109.430168)",
"TENNESSEE","2019","11","83",,"402",,"2505",,"2809",,"1",,"9",,"40",,"45",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.681402, -85.774444)",
"OKLAHOMA","2019","11","26",,"167",,"1124",,"1468",,"5",,"8",,"24",,"20",,,"-","0",,,"-",,"-","
, OKLAHOMA 
(35.468494, -97.521264)",
"FLORIDA","2019","11","408",,"773",,"6293",,"6210",,"13",,"14",,"74",,"98",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.915325, -81.922409)",
"GEORGIA","2019","11","126",,"467",,"2508",,"4679",,"2",,"10",,"45",,"67",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.836038, -83.631709)",
"ARIZONA","2019","11","44",,"305",,"2346",,"2473",,"6",,"8",,"52",,"45",,,"-","1",,,"-",,"-","
, ARIZONA 
(34.869712, -111.760902)",
"KANSAS","2019","11","29",,"131",,"972",,"973",,,"-","1",,,"-","8",,,"-","0",,,"-",,"-","
, KANSAS 
(38.345528, -98.201847)",
"MICHIGAN","2019","11","114",,"449",,"2832",,"2991",,,"-","6",,"18",,"47",,,"-","1",,,"-",,"-","
, MICHIGAN 
(44.66399, -84.711206)",
"LOUISIANA","2019","11","73",,"292",,"1898",,"2313",,"1",,"8",,"24",,"27",,,"-","0",,,"-",,"-","
, LOUISIANA 
(31.2931, -92.463284)",
"WEST VIRGINIA","2019","11",,"-","43",,,"-","211",,,"-","4",,"7",,"14",,,"-","1",,,"-",,"-","
, WEST VIRGINIA 
(38.668501, -80.709421)",
"SOUTH DAKOTA","2019","11",,"-","50",,"259",,"328",,,"-","2",,"5",,"6",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.35371, -100.373709)",
"UTAH","2019","11","27",,"81",,"520",,"555",,,"-","3",,"10",,"15",,,"-","0",,,"-",,"-","
, UTAH 
(39.359772, -111.584173)",
"WISCONSIN","2019","11","86",,"200",,"1624",,"1399",,,"-","6",,"8",,"32",,,"-","1",,,"-",,"-","
, WISCONSIN 
(44.395526, -89.834513)",
"HAWAII","2019","11",,"-","53",,,"-","603",,,"-","3",,"9",,"12",,,"-","0",,,"-",,"-","
, HAWAII 
(21.30992, -157.858158)",
"NEW JERSEY","2019","11","53",,"223",,"1709",,"1698",,,"-","10",,"14",,"48",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.104655, -74.386686)",
"NEW HAMPSHIRE","2019","11","6",,"23",,"101",,"122",,,"-","3",,"6",,"11",,,"-","0",,,"-","1",,"
, NEW HAMPSHIRE 
(43.657736, -71.500736)",
"NEW YORK","2019","11","205",,"422",,"1930",,"2010",,"3",,"16",,"53",,"41",,,"-","1",,,"-",,"-","
, NEW YORK 
(42.826892, -75.544286)",
"MISSISSIPPI","2019","11","29",,"275",,"1466",,"1931",,"1",,"4",,"18",,"26",,,"-","0",,,"-",,"-","
, MISSISSIPPI 
(32.738663, -89.537312)",
"ALASKA","2019","11",,"-","60",,,"-","468",,,"-","3",,"7",,"7",,,"-","0",,,"-",,"-","
, ALASKA 
(64.836661, -147.738891)",
"KENTUCKY","2019","11",,"-","215",,,"-","523",,,"-","7",,"18",,"28",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.64591, -84.774043)",
"ARKANSAS","2019","11",,"-","164",,"349",,"1469",,"4",,"8",,"18",,"16",,,"-","0",,,"-",,"-","
, ARKANSAS 
(34.748745, -92.275105)",
"SOUTH CAROLINA","2019","11",,"-","541",,,"-","4449",,,"-","6",,"24",,"33",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(34.009286, -81.037094)",
"DISTRICT OF COLUMBIA","2019","11",,"-","107",,,"-","885",,,"-","3",,"3",,"3",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.892062, -77.019912)",
"IOWA","2019","11","17",,"120",,"1016",,"904",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, IOWA 
(42.46942, -93.815856)",
"RHODE ISLAND","2019","11","50",,"139",,"178",,"146",,,"-","4",,"6",,"4",,,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.707447, -71.522488)",
"OHIO","2019","11","276",,"592",,"4891",,"4894",,"12",,"14",,"79",,"61",,,"-","1",,,"-",,"-","
, OHIO 
(40.056807, -82.405897)",
"US RESIDENTS","2019","12","3186",,"12175",,"90248",,"125688",,"62",,"189",,"1228",,"1516",,,"-","3",,"2",,"5",,,"
, US RESIDENTS "
"NEW ENGLAND","2019","12",,"-","293",,"1971",,"2360",,,"-","12",,"51",,"71",,,"-","1",,,"-","1",,,"
, NEW ENGLAND "
"MIDDLE ATLANTIC","2019","12","741",,"1482",,"13250",,"12447",,"11",,"27",,"173",,"210",,,"-","1",,,"-",,"-","
, MIDDLE ATLANTIC ",
"NEW YORK CITY","2019","12","304",,"689",,"6136",,"5120",,"6",,"7",,"39",,"41",,,"-","0",,,"-",,"-",,"
, NEW YORK CITY "
"EAST NORTH CENTRAL","2019","12","589",,"1997",,"14244",,"18122",,"7",,"35",,"181",,"267",,,"-","2",,,"-",,"-",,"
, EAST NORTH CENTRAL "
"WEST NORTH CENTRAL","2019","12","299",,"906",,"7566",,"8370",,"4",,"11",,"57",,"76",,,"-","1",,,"-",,"-",,"
, WEST NORTH CENTRAL "
"SOUTH ATLANTIC","2019","12","745",,"2596",,"17843",,"28648",,"12",,"43",,"281",,"360",,,"-","1",,"1",,"1",,,"
, SOUTH ATLANTIC "
"EAST SOUTH CENTRAL","2019","12","89",,"1011",,"5399",,"8690",,"3",,"17",,"128",,"137",,,"-","1",,,"-",,"-",,"
, EAST SOUTH CENTRAL "
"WEST SOUTH CENTRAL","2019","12","85",,"1606",,"3692",,"16540",,"17",,"57",,"167",,"196",,,"-","1",,"1",,,"-",,"
, WEST SOUTH CENTRAL "
"MOUNTAIN","2019","12","224",,"890",,"6449",,"8163",,"8",,"19",,"144",,"133",,,"-","1",,,"-","1",,,"
, MOUNTAIN "
"PACIFIC","2019","12","414",,"2121",,"19834",,"22348",,,"-","8",,"46",,"66",,,"-","1",,,"-","2",,,"
, PACIFIC "
"US TERRITORIES","2019","12",,"-","19",,"58",,"127",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, US TERRITORIES "
"AMERICAN SAMOA","2019","12",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, AMERICAN SAMOA "
"NON-US RESIDENTS","2019","12",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"
, NON-US RESIDENTS "
"TOTAL","2019","12","3186",,"12189",,"90306",,"125815",,"62",,"189",,"1228",,"1516",,,"-","3",,"2",,"5",,,"
, TOTAL "
"GEORGIA","2019","12","172",,"467",,"2898",,"5150",,"2",,"10",,"47",,"70",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.836038, -83.631709)",
"PENNSYLVANIA","2019","12","170",,"361",,"3082",,"3306",,"1",,"12",,"63",,"73",,,"-","0",,,"-",,"-","
, PENNSYLVANIA 
(40.789676, -77.858055)",
"KENTUCKY","2019","12",,"-","215",,,"-","549",,"1",,"7",,"22",,"31",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.64591, -84.774043)",
"ARIZONA","2019","12",,"-","305",,"2346",,"2723",,"3",,"8",,"55",,"46",,,"-","1",,,"-",,"-","
, ARIZONA 
(34.869712, -111.760902)",
"TENNESSEE","2019","12","89",,"402",,"2594",,"3128",,,"-","9",,"56",,"46",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.681402, -85.774444)",
"MICHIGAN","2019","12","132",,"451",,"3131",,"3277",,,"-","7",,"21",,"53",,,"-","1",,,"-",,"-","
, MICHIGAN 
(44.66399, -84.711206)",
"UTAH","2019","12","47",,"81",,"585",,"615",,,"-","3",,"11",,"17",,,"-","0",,,"-",,"-","
, UTAH 
(39.359772, -111.584173)",
"NEW YORK","2019","12","209",,"422",,"2141",,"2187",,"4",,"16",,"57",,"46",,,"-","1",,,"-",,"-","
, NEW YORK 
(42.826892, -75.544286)",
"ALABAMA","2019","12",,"-","389",,"1339",,"2889",,"1",,"6",,"30",,"32",,,"-","0",,,"-",,"-","
, ALABAMA 
(32.839182, -86.631125)",
"COLORADO","2019","12","138",,"270",,"1950",,"1883",,"1",,"5",,"30",,"33",,,"-","1",,,"-",,"-","
, COLORADO 
(38.841772, -106.132562)",
"MISSISSIPPI","2019","12",,"-","275",,"1466",,"2124",,"1",,"4",,"20",,"28",,,"-","0",,,"-",,"-","
, MISSISSIPPI 
(32.738663, -89.537312)",
"MONTANA","2019","12","22",,"36",,"294",,"239",,,"-","2",,"8",,"7",,,"-","1",,,"-",,"-","
, MONTANA 
(47.062617, -109.430168)",
"OKLAHOMA","2019","12","35",,"167",,"1237",,"1619",,"4",,"8",,"28",,"23",,,"-","0",,,"-",,"-","
, OKLAHOMA 
(35.468494, -97.521264)",
"DELAWARE","2019","12",,"-","79",,"374",,"336",,,"-","3",,"5",,"6",,,"-","0",,,"-",,"-","
, DELAWARE 
(39.008676, -75.574561)",
"NEW MEXICO","2019","12","17",,"136",,"1004",,"1100",,"3",,"5",,"16",,"14",,,"-","0",,,"-","1",,"
, NEW MEXICO 
(34.520396, -106.244402)",
"PUERTO RICO","2019","12",,"-","19",,"58",,"118",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, PUERTO RICO 
(18.215692, -66.414655)",
"MINNESOTA","2019","12","2",,"189",,"964",,"1725",,,"-","3",,,"-","3",,,"-","0",,,"-",,"-","
, MINNESOTA 
(46.357661, -94.793397)",
"NORTH DAKOTA","2019","12","2",,"38",,"260",,"272",,,"-","2",,"6",,"5",,,"-","0",,,"-",,"-","
, NORTH DAKOTA 
(47.475879, -100.121011)",
"MISSOURI","2019","12","224",,"389",,"3455",,"3292",,"4",,"10",,"39",,"49",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.636168, -92.566292)",
"MARYLAND","2019","12",,"-","244",,"924",,"2367",,"2",,"8",,"31",,"40",,,"-","1",,"1",,,"-","
, MARYLAND 
(39.290443, -76.612333)",
"NORTH CAROLINA","2019","12","9",,"550",,"3805",,"5139",,,"-","9",,"29",,"52",,,"-","1",,,"-",,"-","
, NORTH CAROLINA 
(35.47995, -79.180571)",
"WYOMING","2019","12",,"-","13",,"74",,"75",,,"-","1",,,"-","1",,,"-","0",,,"-",,"-","
, WYOMING 
(43.23558, -108.110518)",
"ARKANSAS","2019","12",,"-","167",,"398",,"1602",,"5",,"8",,"23",,"17",,,"-","0",,,"-",,"-","
, ARKANSAS 
(34.748745, -92.275105)",
"FLORIDA","2019","12","331",,"773",,"6894",,"6825",,"6",,"14",,"88",,"107",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.915325, -81.922409)",
"RHODE ISLAND","2019","12",,"-","139",,"178",,"155",,,"-","4",,"6",,"5",,,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.707447, -71.522488)",
"NEBRASKA","2019","12","12",,"106",,"420",,"642",,,"-","3",,"7",,"5",,,"-","1",,,"-",,"-","
, NEBRASKA 
(41.640503, -99.367122)",
"INDIANA","2019","12","64",,"322",,"2271",,"2640",,,"-","8",,"30",,"53",,,"-","2",,,"-",,"-","
, INDIANA 
(39.76845, -86.156212)",
"ILLINOIS","2019","12",,"-","590",,"1680",,"5329",,,"-","11",,"36",,"58",,,"-","2",,,"-",,"-","
, ILLINOIS 
(40.477092, -88.993221)",
"ALASKA","2019","13",,"-","60",,,"-","550",,,"-","3",,"7",,"9",,,"-","0",,,"-",,"-","
, ALASKA 
(64.836661, -147.738891)",
"DISTRICT OF COLUMBIA","2019","12",,"-","107",,,"-","934",,,"-","3",,"3",,"3",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.892062, -77.019912)",
"NORTHERN MARIANA ISLANDS","2019","12",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, NORTHERN MARIANA ISLANDS 
(15.1834, 145.725693)",
"GUAM","2019","12",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, GUAM 
(13.3532, 144.653198)",
"NEVADA","2019","12",,"-","157",,"34",,"1324",,,"-","5",,"12",,"7",,,"-","0",,,"-",,"-","
, NEVADA 
(39.491833, -117.070159)",
"IDAHO","2019","12",,"-","44",,"162",,"204",,"1",,"3",,"12",,"8",,,"-","0",,,"-",,"-","
, IDAHO 
(43.680635, -114.364237)",
"IOWA","2019","12","28",,"120",,"1107",,"999",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, IOWA 
(42.46942, -93.815856)",
"MASSACHUSETTS","2019","12",,"-","191",,"1582",,"1851",,,"-","7",,"23",,"33",,,"-","1",,,"-",,"-","
, MASSACHUSETTS 
(42.268546, -72.085064)",
"TEXAS","2019","12",,"-","1070",,,"-","10782",,"7",,"44",,"89",,"125",,,"-","1",,"1",,,"-","
, TEXAS 
(31.827233, -99.423022)",
"OREGON","2019","12","95",,"156",,"1327",,"1360",,,"-","7",,"21",,"27",,,"-","0",,,"-",,"-","
, OREGON 
(44.567912, -120.156945)",
"WISCONSIN","2019","12","96",,"200",,"1750",,"1551",,,"-","6",,"8",,"36",,,"-","1",,,"-",,"-","
, WISCONSIN 
(44.395526, -89.834513)",
"WASHINGTON","2019","12","140",,"223",,"1829",,"1907",,,"-","2",,,"-","4",,,"-","1",,,"-","2",,"
, WASHINGTON 
(47.517368, -120.467672)",
"KANSAS","2019","12","29",,"131",,"1026",,"1087",,,"-","1",,,"-","8",,,"-","0",,,"-",,"-","
, KANSAS 
(38.345528, -98.201847)",
"VERMONT","2019","12",,"-","11",,"1",,"60",,,"-","3",,"3",,"4",,,"-","0",,,"-",,"-","
, VERMONT 
(43.622479, -72.51927)",
"LOUISIANA","2019","12","50",,"292",,"2057",,"2537",,"1",,"8",,"27",,"31",,,"-","0",,,"-",,"-","
, LOUISIANA 
(31.2931, -92.463284)",
"OHIO","2019","12","297",,"592",,"5412",,"5325",,"7",,"14",,"86",,"67",,,"-","1",,,"-",,"-","
, OHIO 
(40.056807, -82.405897)",
"NEW JERSEY","2019","12","58",,"223",,"1891",,"1834",,,"-","10",,"14",,"50",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.104655, -74.386686)",
"ALASKA","2019","12",,"-","60",,,"-","517",,,"-","3",,"7",,"7",,,"-","0",,,"-",,"-","
, ALASKA 
(64.836661, -147.738891)",
"SOUTH DAKOTA","2019","12","2",,"50",,"334",,"353",,,"-","2",,"5",,"6",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.35371, -100.373709)",
"CONNECTICUT","2019","12",,"U",,"NC",,"U",,"U",,"-","5",,,"-","10",,,"-","0",,,"-",,"-","
, CONNECTICUT 
(41.544654, -72.651713)",
"VIRGINIA","2019","12","233",,"356",,"2948",,"2711",,"2",,"13",,"42",,"28",,,"-","0",,,"-",,"-","
, VIRGINIA 
(37.542699, -78.45822)",
"WEST VIRGINIA","2019","12",,"-","43",,,"-","239",,,"-","4",,"7",,"16",,,"-","1",,,"-","1",,"
, WEST VIRGINIA 
(38.668501, -80.709421)",
"HAWAII","2019","12",,"-","41",,,"-","637",,,"-","3",,"11",,"13",,,"-","0",,,"-",,"-","
, HAWAII 
(21.30992, -157.858158)",
"U.S. VIRGIN ISLANDS","2019","12",,"-","4",,,"-","9",,,"N",,"NC",,"N",,"N",,"-","0",,,"-",,"-","
, VIRGIN ISLANDS 
(18.060868, -64.840836)",
"SOUTH CAROLINA","2019","12",,"-","498",,,"-","4947",,,"-","6",,"29",,"38",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(34.009286, -81.037094)",
"MAINE","2019","12",,"-","25",,"108",,"156",,,"-","3",,"12",,"7",,,"-","0",,,"-",,"-","
, MAINE 
(45.252223, -68.986647)",
"CALIFORNIA","2019","12","179",,"1781",,"16678",,"17927",,,"-","3",,"7",,"15",,,"-","0",,,"-",,"-","
, CALIFORNIA 
(37.640735, -121.002435)",
"NEW HAMPSHIRE","2019","12",,"-","23",,"102",,"138",,,"-","3",,"7",,"12",,,"-","0",,,"-","1",,"
, NEW HAMPSHIRE 
(43.657736, -71.500736)",
"US RESIDENTS","2019","13","3153",,"12183",,"100551",,"135995",,"55",,"195",,"1345",,"1610",,,"-","3",,"2",,"5",,,"
, US RESIDENTS "
"NEW ENGLAND","2019","13","78",,"290",,"2245",,"2552",,"1",,"12",,"62",,"76",,,"-","1",,,"-","1",,,"
, NEW ENGLAND "
"MIDDLE ATLANTIC","2019","13","787",,"1489",,"14663",,"13485",,"9",,"29",,"187",,"226",,,"-","1",,,"-",,"-","
, MIDDLE ATLANTIC ",
"NEW YORK CITY","2019","13","254",,"690",,"6500",,"5565",,"4",,"7",,"43",,"46",,,"-","0",,,"-",,"-",,"
, NEW YORK CITY "
"EAST NORTH CENTRAL","2019","13","429",,"1997",,"15692",,"19524",,"11",,"35",,"206",,"283",,,"-","2",,,"-",,"-",,"
, EAST NORTH CENTRAL "
"WEST NORTH CENTRAL","2019","13","269",,"906",,"8069",,"9076",,,"-","11",,"64",,"80",,,"-","1",,,"-",,"-",,"
, WEST NORTH CENTRAL "
"SOUTH ATLANTIC","2019","13","668",,"2597",,"19596",,"31085",,"11",,"43",,"293",,"380",,,"-","1",,"1",,"1",,,"
, SOUTH ATLANTIC "
"EAST SOUTH CENTRAL","2019","13","133",,"1011",,"7588",,"9407",,,"-","17",,"139",,"144",,,"-","1",,,"-",,"-",,"
, EAST SOUTH CENTRAL "
"WEST SOUTH CENTRAL","2019","13","88",,"1606",,"4140",,"17825",,"9",,"57",,"181",,"209",,,"-","1",,"1",,,"-",,"
, WEST SOUTH CENTRAL "
"MOUNTAIN","2019","13","261",,"890",,"7058",,"8867",,"12",,"19",,"160",,"139",,,"-","1",,,"-","1",,,"
, MOUNTAIN "
"PACIFIC","2019","13","440",,"2121",,"21500",,"24174",,"2",,"8",,"53",,"73",,,"-","1",,,"-","2",,,"
, PACIFIC "
"US TERRITORIES","2019","13","1",,"19",,"69",,"131",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, US TERRITORIES "
"AMERICAN SAMOA","2019","13",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, AMERICAN SAMOA "
"NON-US RESIDENTS","2019","13",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"
, NON-US RESIDENTS "
"TOTAL","2019","13","3154",,"12197",,"100620",,"136126",,"55",,"195",,"1345",,"1610",,,"-","3",,"2",,"5",,,"
, TOTAL "
"VERMONT","2019","13","1",,"14",,"2",,"69",,,"-","3",,"4",,"4",,,"-","0",,,"-",,"-","
, VERMONT 
(43.622479, -72.51927)",
"NEW HAMPSHIRE","2019","13","2",,"23",,"113",,"140",,,"-","3",,"7",,"12",,,"-","0",,,"-","1",,"
, NEW HAMPSHIRE 
(43.657736, -71.500736)",
"NEW YORK","2019","13","240",,"422",,"2372",,"2371",,"4",,"16",,"61",,"47",,,"-","1",,,"-",,"-","
, NEW YORK 
(42.826892, -75.544286)",
"US TERRITORIES","2019","15",,"-","19",,"69",,"151",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, US TERRITORIES "
"ARKANSAS","2019","13",,"-","169",,"446",,"1733",,,"-","8",,"23",,"19",,,"-","0",,,"-",,"-","
, ARKANSAS 
(34.748745, -92.275105)",
"KENTUCKY","2019","13",,"-","215",,,"-","593",,,"-","7",,"23",,"33",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.64591, -84.774043)",
"WYOMING","2019","13",,"-","13",,"74",,"77",,,"-","1",,,"-","1",,,"-","0",,,"-",,"-","
, WYOMING 
(43.23558, -108.110518)",
"MARYLAND","2019","13","7",,"248",,"1098",,"2566",,"4",,"8",,"35",,"42",,,"-","1",,"1",,,"-","
, MARYLAND 
(39.290443, -76.612333)",
"TENNESSEE","2019","13","87",,"402",,"2681",,"3349",,,"-","9",,"63",,"50",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.681402, -85.774444)",
"SOUTH CAROLINA","2019","13",,"-","549",,,"-","5496",,,"-","6",,"29",,"39",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(34.009286, -81.037094)",
"SOUTH DAKOTA","2019","13",,"-","50",,"335",,"377",,,"-","2",,"6",,"6",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.35371, -100.373709)",
"RHODE ISLAND","2019","13",,"-","139",,"189",,"191",,,"-","4",,"7",,"6",,,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.707447, -71.522488)",
"U.S. VIRGIN ISLANDS","2019","13",,"-","4",,,"-","9",,,"N",,"NC",,"N",,"N",,"-","0",,,"-",,"-","
, VIRGIN ISLANDS 
(18.060868, -64.840836)",
"LOUISIANA","2019","13","57",,"292",,"2353",,"2716",,,"-","8",,"27",,"32",,,"-","0",,,"-",,"-","
, LOUISIANA 
(31.2931, -92.463284)",
"INDIANA","2019","13",,"-","320",,"2271",,"2812",,"1",,"8",,"34",,"55",,,"-","2",,,"-",,"-","
, INDIANA 
(39.76845, -86.156212)",
"DISTRICT OF COLUMBIA","2019","13",,"-","107",,,"-","1009",,"1",,"3",,"4",,"3",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.892062, -77.019912)",
"NORTHERN MARIANA ISLANDS","2019","13",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, NORTHERN MARIANA ISLANDS 
(15.1834, 145.725693)",
"TEXAS","2019","13",,"-","1070",,,"-","11635",,"7",,"44",,"101",,"131",,,"-","1",,"1",,,"-","
, TEXAS 
(31.827233, -99.423022)",
"MAINE","2019","13",,"-","25",,"108",,"166",,,"-","3",,"12",,"7",,,"-","0",,,"-",,"-","
, MAINE 
(45.252223, -68.986647)",
"WEST VIRGINIA","2019","13",,"-","43",,,"-","258",,,"-","4",,"8",,"16",,,"-","1",,,"-","1",,"
, WEST VIRGINIA 
(38.668501, -80.709421)",
"MASSACHUSETTS","2019","13","75",,"190",,"1833",,"1986",,"1",,"7",,"26",,"36",,,"-","1",,,"-",,"-","
, MASSACHUSETTS 
(42.268546, -72.085064)",
"UTAH","2019","13","49",,"81",,"644",,"675",,,"-","3",,"11",,"18",,,"-","0",,,"-",,"-","
, UTAH 
(39.359772, -111.584173)",
"GEORGIA","2019","13",,"-","460",,"2898",,"5599",,,"-","10",,"47",,"74",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.836038, -83.631709)",
"IOWA","2019","13","26",,"120",,"1200",,"1082",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, IOWA 
(42.46942, -93.815856)",
"ARIZONA","2019","13","47",,"305",,"2663",,"2987",,"8",,"8",,"66",,"46",,,"-","1",,,"-",,"-","
, ARIZONA 
(34.869712, -111.760902)",
"KANSAS","2019","13","35",,"131",,"1141",,"1189",,,"-","1",,,"-","8",,,"-","0",,,"-",,"-","
, KANSAS 
(38.345528, -98.201847)",
"FLORIDA","2019","13","341",,"773",,"7480",,"7359",,"5",,"14",,"93",,"111",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.915325, -81.922409)",
"HAWAII","2019","13",,"-","41",,,"-","678",,,"-","3",,"11",,"14",,,"-","0",,,"-",,"-","
, HAWAII 
(21.30992, -157.858158)",
"WISCONSIN","2019","13","89",,"200",,"1888",,"1673",,,"-","6",,"8",,"40",,,"-","1",,,"-",,"-","
, WISCONSIN 
(44.395526, -89.834513)",
"GUAM","2019","13",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, GUAM 
(13.3532, 144.653198)",
"OHIO","2019","13","190",,"593",,"5839",,"5733",,"9",,"14",,"95",,"70",,,"-","2",,,"-",,"-","
, OHIO 
(40.056807, -82.405897)",
"MISSOURI","2019","13","202",,"389",,"3700",,"3585",,,"-","10",,"43",,"51",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.636168, -92.566292)",
"NEW JERSEY","2019","13","126",,"236",,"2276",,"1994",,,"-","10",,"19",,"55",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.104655, -74.386686)",
"MINNESOTA","2019","13",,"-","189",,"976",,"1875",,,"-","3",,"1",,"3",,,"-","0",,,"-",,"-","
, MINNESOTA 
(46.357661, -94.793397)",
"NORTH DAKOTA","2019","13","6",,"41",,"297",,"290",,,"-","2",,"7",,"5",,,"-","0",,,"-",,"-","
, NORTH DAKOTA 
(47.475879, -100.121011)",
